,height,width,sxx,sxy,syy,sdrop,mud,dc,label
0,0.103861,1.145663,-102.509086,58.619371,-117.766562,0.483821,0.216681,0.295842,0.0
1,0.088714,1.30436,-136.06227,51.391037,-126.715571,0.345944,0.447964,0.406466,1.0
2,0.099706,1.260377,-117.558936,40.972081,-115.529343,0.292719,0.501697,0.38936,1.0
3,0.115749,1.191782,-128.169036,94.020712,-157.830504,0.57171,0.202831,0.408976,0.0
4,0.0179,1.10815,-106.35032,29.148969,-101.37932300000001,0.253122,0.324653,0.398592,1.0
5,0.02381,1.809335,-133.284598,57.838478,-118.675571,0.479884,0.291608,0.418983,0.0
6,0.134961,1.500619,-132.88462500000003,78.40571699999998,-135.344837,0.546107,0.239262,0.355863,0.0
7,0.058512,1.000214,-56.703078,15.261712,-67.674971,0.216541,0.208749,0.312722,0.0
8,0.031783,1.381646,-74.27270099999998,20.540052,-76.57323599999998,0.256497,0.466678,0.432876,0.0
9,0.084483,1.178936,-140.885249,82.921414,-134.150217,0.596416,0.202142,0.39523,0.0
10,0.103202,1.1910790000000002,-51.264853,31.19064,-58.577663,0.503361,0.28574,0.434166,0.0
11,7e-05,1.467726,-27.753625,13.451571,-24.177887,0.53893,0.253603,0.441331,0.0
12,0.107338,1.854675,-71.877576,21.17673,-74.920584,0.272024,0.395701,0.398691,0.0
13,0.067347,1.343309,-68.101315,29.437032,-74.547115,0.342023,0.385895,0.454203,1.0
14,0.019561,1.104816,-75.10946099999998,31.991564,-99.799519,0.280396,0.404996,0.37546,1.0
15,0.034868,1.706816,-10.274979,5.015648,-11.170872,0.420113,0.274068,0.297661,0.0
16,0.093922,1.89036,-65.694578,23.234369,-69.010211,0.304647,0.325615,0.483681,0.0
17,0.004858,1.327834,-27.519162,7.520144,-29.547753,0.203247,0.392223,0.467877,0.0
18,0.06708,1.122625,-15.974136,7.660625999999999,-19.946116,0.360539,0.417863,0.350907,0.0
19,0.096542,1.152373,-52.691229,15.940045,-43.125276,0.355874,0.421434,0.417416,0.0
20,0.052642,1.804063,-15.572166,6.810804,-14.076316,0.47584,0.312833,0.418257,0.0
21,0.132544,1.866879,-147.456553,63.633572,-132.828223,0.448375,0.287232,0.376236,1.0
22,0.015491,1.149926,-127.411691,22.997385,-103.852191,0.201921,0.226256,0.341949,0.0
