height,width,sxx,sxy,syy,sdrop,mud,dc,label,height_width_ratio,normal_stress_diff,friction_product,stress_ratio,static_dynamic_friction_diff,stress_diff_dynamic_strength,normalized_dc,data_type
0.103861,1.145663,-102.509086,58.619371,-117.766562,0.483821,0.216681,0.295842,0.0,,,,,,,,train
0.088714,1.30436,-136.06227,51.391037,-126.715571,0.345944,0.447964,0.406466,1.0,,,,,,,,train
0.099706,1.260377,-117.558936,40.972081,-115.529343,0.292719,0.501697,0.38936,1.0,,,,,,,,train
0.115749,1.191782,-128.169036,94.020712,-157.830504,0.57171,0.202831,0.408976,0.0,,,,,,,,train
0.0179,1.10815,-106.35032,29.148969,-101.379323,0.253122,0.324653,0.398592,1.0,,,,,,,,train
0.02381,1.809335,-133.284598,57.838478,-118.675571,0.479884,0.291608,0.418983,0.0,,,,,,,,train
0.134961,1.500619,-132.884625,78.40571699999998,-135.344837,0.546107,0.239262,0.355863,0.0,,,,,,,,train
0.058512,1.000214,-56.703078,15.261712,-67.674971,0.216541,0.208749,0.312722,0.0,,,,,,,,train
0.031783,1.381646,-74.27270099999998,20.540052,-76.57323599999998,0.256497,0.466678,0.432876,0.0,,,,,,,,train
0.084483,1.178936,-140.885249,82.921414,-134.150217,0.596416,0.202142,0.39523,0.0,,,,,,,,train
0.103202,1.191079,-51.264853,31.19064,-58.577663,0.503361,0.28574,0.434166,0.0,,,,,,,,train
7e-05,1.467726,-27.753625,13.451571,-24.177887,0.53893,0.253603,0.441331,0.0,,,,,,,,train
0.107338,1.854675,-71.877576,21.17673,-74.920584,0.272024,0.395701,0.398691,0.0,,,,,,,,train
0.067347,1.343309,-68.101315,29.437032,-74.547115,0.342023,0.385895,0.454203,1.0,,,,,,,,train
0.019561,1.104816,-75.10946099999998,31.991564,-99.799519,0.280396,0.404996,0.37546,1.0,,,,,,,,train
0.034868,1.706816,-10.274979,5.015648,-11.170872,0.420113,0.274068,0.297661,0.0,,,,,,,,train
0.093922,1.89036,-65.694578,23.234369,-69.010211,0.304647,0.325615,0.483681,0.0,,,,,,,,train
0.004858,1.327834,-27.519162,7.520144,-29.547753,0.203247,0.392223,0.467877,0.0,,,,,,,,train
0.06708,1.122625,-15.974136,7.660625999999999,-19.946116,0.360539,0.417863,0.350907,0.0,,,,,,,,train
0.096542,1.152373,-52.691229,15.940045,-43.125276,0.355874,0.421434,0.417416,0.0,,,,,,,,train
0.052642,1.804063,-15.572166,6.810804,-14.076316,0.47584,0.312833,0.418257,0.0,,,,,,,,train
0.132544,1.866879,-147.456553,63.633572,-132.828223,0.448375,0.287232,0.376236,1.0,,,,,,,,train
0.015491,1.149926,-127.411691,22.997385,-103.852191,0.201921,0.226256,0.341949,0.0,,,,,,,,train
0.063954,1.628434,-63.995947,14.501826,-55.697083,0.234016,0.410673,0.400108,0.0,,,,,,,,train
0.038052,1.417375,-30.744321,10.886326,-25.437363,0.416402,0.200485,0.362766,0.0,,,,,,,,train
0.135488,1.755182,-114.584123,56.672556,-95.761108,0.568376,0.22504,0.471864,0.0,,,,,,,,train
0.019284,1.082354,-42.283315,31.44168,-52.841391,0.579757,0.214562,0.434825,0.0,,,,,,,,train
0.055518,1.205482,-65.389401,19.153232,-53.601306,0.334471,0.340696,0.415653,0.0,,,,,,,,train
0.02854,1.672503,-18.552846,7.446171999999998,-18.961409,0.361915,0.321054,0.393095,0.0,,,,,,,,train
0.018568,1.089327,-102.186914,35.384059,-101.064276,0.316517,0.279418,0.397105,1.0,,,,,,,,train
0.066693,1.080727,-156.945235,46.543567,-154.978937,0.265576,0.473124,0.328346,1.0,,,,,,,,train
0.000557,1.875062,-89.044138,25.969674,-92.513194,0.257438,0.356087,0.452399,1.0,,,,,,,,train
0.005661,1.57857,-57.811438,29.846397,-55.587918,0.530858,0.228267,0.402806,0.0,,,,,,,,train
0.179204,1.924995,-78.994112,48.205843,-77.792648,0.591257,0.201784,0.316239,0.0,,,,,,,,train
0.161423,1.939618,-28.059155,14.761932,-35.530461,0.38245,0.222899,0.435824,0.0,,,,,,,,train
0.036982,1.866832,-66.261964,27.029364,-59.344859,0.406038,0.36979,0.414237,1.0,,,,,,,,train
0.114086,1.333233,-38.924518,17.496578,-41.445851,0.406876,0.295704,0.371027,0.0,,,,,,,,train
0.084535,1.753879,-60.090486,26.724,-56.251426,0.433205,0.279218,0.481303,0.0,,,,,,,,train
0.022778,1.313935,-98.23685,44.393654,-83.975684,0.493107,0.27593,0.362358,1.0,,,,,,,,train
0.105921,1.740738,-17.356452,11.46061,-18.854782,0.586745,0.202778,0.324265,0.0,,,,,,,,train
0.00946,1.060052,-65.987333,27.399015,-62.85568,0.409656,0.262313,0.386879,0.0,,,,,,,,train
0.020411,1.228211,-33.612888,10.662342,-27.953275,0.365689,0.248629,0.419988,0.0,,,,,,,,train
0.035602,1.135306,-188.341759,61.757529,-156.574148,0.358559,0.341528,0.396786,1.0,,,,,,,,train
0.133108,1.478902,-62.121585,27.175956,-82.50685699999998,0.285742,0.29134,0.378999,1.0,,,,,,,,train
0.068802,1.754505,-86.75323899999998,23.61489,-82.39547899999998,0.255148,0.524737,0.356956,1.0,,,,,,,,train
0.104421,1.223843,-142.287984,54.767115,-118.390954,0.41499,0.335277,0.409407,1.0,,,,,,,,train
0.014496,1.60306,-73.710659,47.985958,-92.673448,0.496249,0.303061,0.418573,0.0,,,,,,,,train
0.049642,1.523046,-41.946874,29.908942,-54.518513,0.543824,0.232981,0.350324,0.0,,,,,,,,train
0.053515,1.060397,-94.963091,32.138066,-81.459378,0.375788,0.355556,0.393999,0.0,,,,,,,,train
0.005108,1.290202,-40.422563,18.415473,-35.87324,0.501547,0.20679,0.399458,0.0,,,,,,,,train
0.151728,1.618179,-59.508145,34.512902,-59.960521,0.549406,0.235489,0.307944,0.0,,,,,,,,train
0.094933,1.71623,-72.462395,20.352474,-58.204041,0.323974,0.351874,0.476334,0.0,,,,,,,,train
0.152321,1.746961,-17.369275,9.115734,-14.770254,0.595616,0.20422,0.292267,0.0,,,,,,,,train
0.029026,1.631427,-94.588342,23.307494,-85.431717,0.222115,0.38237,0.484006,1.0,,,,,,,,train
0.08152199999999998,1.541044,-120.502588,66.941068,-158.671896,0.412294,0.225287,0.394368,0.0,,,,,,,,train
0.119878,1.666479,-44.077359,14.454793,-57.705452,0.214415,0.260809,0.423456,0.0,,,,,,,,train
0.095093,1.276414,-101.305242,34.186192,-132.191081,0.225509,0.470832,0.403903,1.0,,,,,,,,train
0.12581,1.635855,-105.504789,26.396575,-110.407364,0.205547,0.325591,0.289783,1.0,,,,,,,,train
0.192568,1.946219,-144.354366,67.728993,-116.116265,0.560069,0.230936,0.422955,0.0,,,,,,,,train
0.016372,1.227659,-77.046644,49.015768,-94.563025,0.484841,0.276115,0.440292,1.0,,,,,,,,train
0.019166,1.241825,-13.09746,6.571078,-11.181285,0.577756,0.215533,0.401045,0.0,,,,,,,,train
0.123963,1.321892,-132.072251,49.438713,-128.098814,0.380086,0.203227,0.432223,0.0,,,,,,,,train
0.013994,1.583546,-156.723099,33.458698,-141.605761,0.214772,0.429198,0.416752,1.0,,,,,,,,train
0.065555,1.288759,-178.527207,57.670626,-148.175194,0.350006,0.360772,0.34194,1.0,,,,,,,,train
0.052351,1.544556,-69.562902,27.408155,-81.687691,0.277884,0.503592,0.424034,1.0,,,,,,,,train
0.132672,1.82701,-32.919779,14.462245,-29.072514,0.486063,0.312529,0.496436,0.0,,,,,,,,train
0.092525,1.923537,-140.747169,97.02400600000001,-157.438135,0.595652,0.202128,0.491479,0.0,,,,,,,,train
0.07443099999999998,1.384114,-59.435671,17.353321,-63.327814,0.257685,0.403305,0.406759,0.0,,,,,,,,train
0.064522,1.306083,-30.423966,19.3266,-40.365071,0.447278,0.210557,0.495002,0.0,,,,,,,,train
0.067286,1.502971,-86.629621,26.781114,-77.385551,0.33757,0.366967,0.401055,0.0,,,,,,,,train
0.153796,1.852242,-17.533165,5.41484,-15.641221,0.305797,0.290452,0.384303,0.0,,,,,,,,train
0.013619,1.684272,-162.682498,48.211956,-143.000246,0.327144,0.243517,0.412356,0.0,,,,,,,,train
0.030506,1.34567,-44.083484,27.887595,-48.158046,0.5569,0.233786,0.335737,0.0,,,,,,,,train
0.13034,1.616952,-45.50572,19.672557,-42.946242,0.429782,0.357865,0.456582,0.0,,,,,,,,train
0.028969,1.2126,-88.081698,31.49447,-107.352309,0.249185,0.381969,0.43535,1.0,,,,,,,,train
0.002952,2.015785,-54.396368,32.287397,-72.019457,0.415975,0.285606,0.428923,1.0,,,,,,,,train
0.021288,1.461044,-141.974295,39.335139,-115.484989,0.331767,0.293429,0.393302,0.0,,,,,,,,train
0.092572,1.122709,-36.173298,20.467146,-34.361616,0.591003,0.207212,0.346696,0.0,,,,,,,,train
0.114602,1.81851,-35.972691,13.764091,-47.845016,0.278614,0.285913,0.350566,0.0,,,,,,,,train
0.045569,1.544632,-134.877684,81.991628,-132.822663,0.599913,0.200045,0.40724,0.0,,,,,,,,train
0.054039,1.498977,-69.850248,38.178996,-73.38968,0.482834,0.292513,0.351776,1.0,,,,,,,,train
0.076902,1.567068,-92.267898,41.149054,-109.784237,0.350733,0.297911,0.355354,0.0,,,,,,,,train
0.01601,1.144055,-103.101387,46.27704,-92.299476,0.477195,0.283941,0.420183,0.0,,,,,,,,train
0.058118,1.726013,-76.788005,26.776637,-66.605637,0.368324,0.268033,0.422506,0.0,,,,,,,,train
0.120831,1.371222,-73.01434,35.515059,-77.737594,0.433634,0.232973,0.323533,0.0,,,,,,,,train
0.012733,1.075392,-132.409966,68.272058,-122.290994,0.530698,0.213138,0.474972,1.0,,,,,,,,train
0.053797,1.700933,-55.425852,28.674935,-54.824495,0.506781,0.210943,0.373239,0.0,,,,,,,,train
0.114362,1.3187,-128.588693,61.579272,-129.623365,0.454012,0.257145,0.361823,0.0,,,,,,,,train
0.161671,1.665181,-47.422244,35.317858,-62.68672,0.548678,0.246527,0.401329,0.0,,,,,,,,train
0.010938,1.969295,-88.75225,47.620202,-91.820109,0.505149,0.210274,0.374393,0.0,,,,,,,,train
0.050252,1.187452,-69.913581,31.346653,-56.057673,0.551821,0.212942,0.472495,0.0,,,,,,,,train
0.138376,1.460499,-133.177184,37.155503,-112.445719,0.304671,0.277285,0.426538,1.0,,,,,,,,train
0.156572,1.635167,-99.687981,61.352429,-106.589675,0.542621,0.232505,0.385625,0.0,,,,,,,,train
0.069818,1.606688,-168.639974,60.972538,-152.040816,0.372783,0.343568,0.391689,1.0,,,,,,,,train
0.07320799999999998,1.025865,-101.778781,31.967401,-121.992494,0.235759,0.283829,0.414839,1.0,,,,,,,,train
0.123205,1.703276,-80.30198,40.215017,-90.66856000000001,0.420012,0.234456,0.417848,0.0,,,,,,,,train
0.005237,2.022415,-66.004738,24.928062,-55.641958,0.425878,0.34442,0.318964,0.0,,,,,,,,train
0.006537,1.140277,-92.868706,40.452731,-95.635371,0.409824,0.252316,0.420898,0.0,,,,,,,,train
0.049906,1.544258,-28.425511,8.131966999999998,-23.728007,0.327066,0.221501,0.404489,0.0,,,,,,,,train
0.033426,1.414072,-143.499967,49.940977,-157.481341,0.296138,0.231395,0.430131,1.0,,,,,,,,train
0.018415,1.287992,-118.190912,65.16438,-113.688811,0.560627,0.232279,0.409664,0.0,,,,,,,,train
0.160452,1.972364,-32.682114,18.854057,-39.708283,0.448275,0.227124,0.402044,0.0,,,,,,,,train
0.085442,1.239633,-102.304232,41.511373,-114.162173,0.315472,0.387004,0.456152,0.0,,,,,,,,train
0.107383,1.57647,-18.88076,4.328468,-18.590887,0.214407,0.319895,0.391876,0.0,,,,,,,,train
0.019595,1.582688,-156.490569,84.847282,-151.501867,0.542185,0.21639,0.458228,1.0,,,,,,,,train
